FormID,EditorID,Name,References
04052335,SUM_DaedricBowRoulette06,Daedric Short Bow of Absurdity,0008A9CE
0405232E,SUM_DaedricBowHiddenSerpent05,Daedric Short Bow of Adders,0008A9ED
04052316,SUM_DaedricBowSlayLiving06,Daedric Short Bow of Annihilation,0008A9EF
0405231E,SUM_DaedricBowSlayLiving04,Daedric Short Bow of Ashes,0008A9EF
04052329,SUM_DaedricBowHiddenSerpent06,Daedric Short Bow of Asps,0008A9ED
0405230F,SUM_DaedricBowDisableRegeneration05,Daedric Short Bow of Atrophy,0008A9F0
04052349,SUM_DaedricBowFireHazard05,Daedric Short Bow of Blazing Blasts,0008A9C0
040522FF,SUM_DaedricBowSunDamage06,Daedric Short Bow of Brilliance,0008AB0A
04052310,SUM_DaedricBowDrainArmor04,Daedric Short Bow of Buckling,0008A9F0
04052353,SUM_DaedricBowLaunch05,Daedric Short Bow of Catapulting,0008A9A8
04052343,SUM_DaedricBowFrostHazard05,Daedric Short Bow of Chilling Blasts,0008A9C1
04052304,SUM_DaedricBowCmdDaedra04,Daedric Short Bow of Command,0008AB0A
0405232A,SUM_DaedricBowHeal06,Daedric Short Bow of Compassion,0008A9ED
0405233A,SUM_DaedricBowPoisonDmg05,Daedric Short Bow of Corruption,0008A9CE
0405230C,SUM_DaedricBowDrainArmor05,Daedric Short Bow of Crumpling,0008A9F0
0405230D,SUM_DaedricBowBattleHunger05,Daedric Short Bow of Curses,0008A9F0
04052348,SUM_DaedricBowWeaknessToFire06,Daedric Short Bow of Death Fire,0008A9C0
04052342,SUM_DaedricBowWeaknessToFrost06,Daedric Short Bow of Death Frost,0008A9C1
04052337,SUM_DaedricBowWeaknessToPoison06,Daedric Short Bow of Death Poison,0008A9CE
04052321,SUM_DaedricBowWeaknessToShock06,Daedric Short Bow of Death Shocks,0008A9EE
04052305,SUM_DaedricBowDischarge04,Daedric Short Bow of Depletion,0008AB0A
040522FD,SUM_DaedricBowDischarge06,Daedric Short Bow of Disenchantment,0008AB0A
0405231A,SUM_DaedricBowSlayLiving05,Daedric Short Bow of Disintegration,0008A9EF
04052308,SUM_DaedricBowDrainArmor06,Daedric Short Bow of Dismantling,0008A9F0
0405231C,SUM_DaedricBowShiftingEarth04,Daedric Short Bow of Druids,0008A9EF
04052338,SUM_DaedricBowBleedDamage06,Daedric Short Bow of Evisceration,0008A9CE,04221842
0405233C,SUM_DaedricBowBleedDamage05,Daedric Short Bow of Exsanguination,0008A9CE
04052319,SUM_DaedricBowKillstreak05,Daedric Short Bow of Extermination,0008A9EF
0405234B,SUM_DaedricBowFireHazard04,Daedric Short Bow of Fire Blasts,0008A9C0
04052345,SUM_DaedricBowFrostHazard04,Daedric Short Bow of Freezing Blasts,0008A9C1
04052314,SUM_DaedricBowShiftingEarth06,Daedric Short Bow of Galen,0008A9EF
0405231D,SUM_DaedricBowKillstreak04,Daedric Short Bow of Gore,0008A9EF
04052332,SUM_DaedricBowStealWeapons04,Daedric Short Bow of Grappling,0008A9ED
04052340,SUM_DaedricBowBleedDamage04,Daedric Short Bow of Gutting,0008A9CE
04052334,SUM_DaedricBowHeal04,Daedric Short Bow of Healing,0008A9ED
04052309,SUM_DaedricBowBattleHunger06,Daedric Short Bow of Hexes,0008A9F0
0405232D,SUM_DaedricBowStealWeapons05,Daedric Short Bow of Hooks,0008A9ED
04052311,SUM_DaedricBowBattleHunger04,Daedric Short Bow of Hunger,0008A9F0
04052357,SUM_DaedricBowLaunch04,Daedric Short Bow of Hurling,0008A9A8
0405230E,SUM_DaedricBowFireDmgLingering05,Daedric Short Bow of Ignition,0008A9F0
0405230A,SUM_DaedricBowFireDmgLingering06,Daedric Short Bow of Immolation,0008A9F0
0405235A,SUM_DaedricBowImprison04,Daedric Short Bow of Imprisonment,0008A9A7
04052360,SUM_DaedricBowInsult05,Daedric Short Bow of Indignities,0008A9A7
04052347,SUM_DaedricBowFireHazard06,Daedric Short Bow of Inferno Blasts,0008A9C0
04052363,SUM_DaedricBowInsult04,Daedric Short Bow of Insults,0008A9A7
04052301,SUM_DaedricBowDischarge05,Daedric Short Bow of Interference,0008AB0A
0405234F,SUM_DaedricBowLaunch06,Daedric Short Bow of Launching,0008A9A8
0405234C,SUM_DaedricBowWeaknessToFire04,Daedric Short Bow of Lethal Fire,0008A9C0
04052346,SUM_DaedricBowWeaknessToFrost04,Daedric Short Bow of Lethal Frost,0008A9C1
0405233F,SUM_DaedricBowWeaknessToPoison04,Daedric Short Bow of Lethal Poison,0008A9CE
04052325,SUM_DaedricBowWeaknessToShock04,Daedric Short Bow of Lethal Shocks,0008A9EE
04052322,SUM_DaedricBowShockHazard05,Daedric Short Bow of Lightning Blasts,0008A9EE
04052354,SUM_DaedricBowFrenzy05,Daedric Short Bow of Mayhem,0008A9A8
0405232F,SUM_DaedricBowHeal05,Daedric Short Bow of Mercy,0008A9ED
04052336,SUM_DaedricBowPoisonDmg06,Daedric Short Bow of Miasma,0008A9CE
04052350,SUM_DaedricBowFrenzy06,Daedric Short Bow of Pandemonium,0008A9A8
0405235C,SUM_DaedricBowImprison06,Daedric Short Bow of Penance,0008A9A7
04052362,SUM_DaedricBowPowerSurge04,Daedric Short Bow of Power Unbound,0008A9A7
0405235F,SUM_DaedricBowPowerSurge05,Daedric Short Bow of Power Unfettered,0008A9A7
04052359,SUM_DaedricBowPowerSurge06,Daedric Short Bow of Power Unleashed,0008A9A7
04052315,SUM_DaedricBowKillstreak06,Daedric Short Bow of Prey,0008A9EF
0405230B,SUM_DaedricBowDisableRegeneration06,Daedric Short Bow of Putrefaction,0008A9F0
04052307,SUM_DaedricBowSunDamage04,Daedric Short Bow of Radiance,0008AB0A
04052358,SUM_DaedricBowFrenzy04,Daedric Short Bow of Rage,0008A9A8
04052303,SUM_DaedricBowSunDamage05,Daedric Short Bow of Resplendence,0008AB0A
0405233E,SUM_DaedricBowPoisonDmg04,Daedric Short Bow of Rot,0008A9CE
0405234A,SUM_DaedricBowWeaknessToFire05,Daedric Short Bow of Ruinous Fire,0008A9C0
04052344,SUM_DaedricBowWeaknessToFrost05,Daedric Short Bow of Ruinous Frost,0008A9C1
0405233B,SUM_DaedricBowWeaknessToPoison05,Daedric Short Bow of Ruinous Poison,0008A9CE
04052323,SUM_DaedricBowWeaknessToShock05,Daedric Short Bow of Ruinous Shock,0008A9EE
0405235D,SUM_DaedricBowInsult06,Daedric Short Bow of Scorn,0008A9A7
04052351,SUM_DaedricBowBlindness05,Daedric Short Bow of Shadows,0008A9A8
04052312,SUM_DaedricBowFireDmgLingering04,Daedric Short Bow of Smoldering,0008A9F0
04052328,SUM_DaedricBowStealWeapons06,Daedric Short Bow of Snatching,0008A9ED
04052320,SUM_DaedricBowShockHazard06,Daedric Short Bow of Storm Blasts,0008A9EE
0405231B,SUM_DaedricBowPrimal05,Daedric Short Bow of the All-Maker,0008A9EF
0405234E,SUM_DaedricBowDeathsDoor06,Daedric Short Bow of the Broken Crown,0008A9A8
0405235B,SUM_DaedricBowImprison05,Daedric Short Bow of the Dungeon,0008A9A7
0405234D,SUM_DaedricBowBlindness06,Daedric Short Bow of the Eyeless,0008A9A8
04052356,SUM_DaedricBowDeathsDoor04,Daedric Short Bow of the Fates,0008A9A8
0405233D,SUM_DaedricBowRoulette04,Daedric Short Bow of the Fool,0008A9CE
04052339,SUM_DaedricBowRoulette05,Daedric Short Bow of the Jester,0008A9CE
04052355,SUM_DaedricBowBlindness04,Daedric Short Bow of the Night,0008A9A8
0405231F,SUM_DaedricBowPrimal04,Daedric Short Bow of the Skaal,0008A9EF
04052318,SUM_DaedricBowShiftingEarth05,Daedric Short Bow of the Standing Stones,0008A9EF
04052300,SUM_DaedricBowCmdDaedra05,Daedric Short Bow of the Summoner,0008AB0A
040522FC,SUM_DaedricBowCmdDaedra06,Daedric Short Bow of the Warlock,0008AB0A
04052317,SUM_DaedricBowPrimal06,Daedric Short Bow of the World,0008A9EF
04052352,SUM_DaedricBowDeathsDoor05,Daedric Short Bow of the Wyress,0008A9A8
04052324,SUM_DaedricBowShockHazard04,Daedric Short Bow of Thunder Blasts,0008A9EE
04052333,SUM_DaedricBowHiddenSerpent04,Daedric Short Bow of Vipers,0008A9ED
04052313,SUM_DaedricBowDisableRegeneration04,Daedric Short Bow of Wilting,0008A9F0
04052341,SUM_DaedricBowFrostHazard06,Daedric Short Bow of Winter Blasts,0008A9C1
04052D25,SUM_DwarvenBowWeaknessToFire03,Dwarven Short ,0001CE5C
04052D03,SUM_DwarvenBowSlayLiving04,Dwarven Short Bow of Ashes,0001CE72
04051C20,SUM_DwarvenBowDrainArmor03,Dwarven Short Bow of Bending,0001CE73
04052D2B,SUM_DwarvenBowBlindness03,Dwarven Short Bow of Blackness,0001CE5B
04052D17,SUM_DwarvenBowPoisonDmg03,Dwarven Short Bow of Blight,0001CE70
04052D2F,SUM_DwarvenBowBlindness02,Dwarven Short Bow of Blinding,0001CE5B
04051C1C,SUM_DwarvenBowDrainArmor04,Dwarven Short Bow of Buckling,0001CE73
04052D06,SUM_DwarvenBowKillstreak03,Dwarven Short Bow of Butchery,0001CE72
04052D0A,SUM_DwarvenBowKillstreak02,Dwarven Short Bow of Carnage,0001CE72
04051C18,SUM_DwarvenBowCmdDaedra04,Dwarven Short Bow of Command,0001CF6A
04051C24,SUM_DwarvenBowDrainArmor02,Dwarven Short Bow of Crushing,0001CE73
04052D0B,SUM_DwarvenBowSlayLiving02,Dwarven Short Bow of Culling,0001CE72
04051C17,SUM_DwarvenBowSunDamage02,Dwarven Short Bow of Daylight,0001CF6A
04052D20,SUM_DwarvenBowWeaknessToFrost03,Dwarven Short Bow of Deadly Frost,0001CE6F
04052D18,SUM_DwarvenBowWeaknessToPoison03,Dwarven Short Bow of Deadly Poison,0001CE70
04052D10,SUM_DwarvenBowWeaknessToShock03,Dwarven Short Bow of Deadly Shocks,0001CE71
